epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2704.3,1.67136,2.38794,2.27347,0.02514,0.09636,0.50619,0.29717,0.30219,0.19295,0.50137,0.29249,0.29526,0.17201,1.71765,2.41215,2.55864,0.02921,0,0.00094654,0.00094654,0.00094654
29,2799.66,1.672,2.48146,2.36254,0.02506,0.10061,0.55774,0.24722,0.28628,0.17961,0.56706,0.24215,0.27895,0.15852,1.74658,2.53835,2.75821,0.02995,0,0.00094456,0.00094456,0.00094456
30,2894.91,1.61772,2.3834,2.26833,0.02394,0.09726,0.61809,0.27639,0.32702,0.21064,0.65887,0.25657,0.32127,0.18048,1.74404,2.49387,2.65932,0.03121,0,0.00094258,0.00094258,0.00094258
31,2990.52,1.69349,2.32936,2.25857,0.02549,0.09521,0.61842,0.35118,0.35457,0.22244,0.60873,0.33367,0.33696,0.19493,1.76307,2.41106,2.48605,0.03163,0,0.0009406,0.0009406,0.0009406
32,3085.7,1.60965,2.25791,2.10174,0.02448,0.09614,0.62549,0.2696,0.31556,0.19758,0.6198,0.26593,0.31659,0.17769,1.71064,2.45214,2.68614,0.02972,0,0.00093862,0.00093862,0.00093862
33,3180.98,1.63011,2.35186,2.2401,0.02405,0.09891,0.56804,0.29494,0.32931,0.21046,0.55965,0.29391,0.31912,0.18995,1.71915,2.55914,2.61775,0.03037,0,0.00093664,0.00093664,0.00093664
34,3276.07,1.59168,2.1832,2.0488,0.02271,0.09114,0.6277,0.28739,0.32778,0.22146,0.62861,0.28036,0.32658,0.18752,1.69183,2.5969,2.75703,0.02973,0,0.00093466,0.00093466,0.00093466
35,3371.23,1.54409,2.21483,2.11812,0.02274,0.09948,0.59968,0.26957,0.33023,0.20867,0.60476,0.26813,0.32737,0.18428,1.65271,2.43578,2.56861,0.02841,0,0.00093268,0.00093268,0.00093268
36,3466.34,1.59627,2.2496,2.06626,0.02291,0.09338,0.46012,0.29695,0.30295,0.18581,0.41032,0.32273,0.28988,0.16732,1.71946,2.47323,2.46429,0.02969,0,0.0009307,0.0009307,0.0009307
37,3561.58,1.62875,2.18361,1.9328,0.02493,0.09308,0.59326,0.33236,0.35452,0.23175,0.59876,0.33907,0.34964,0.20087,1.66072,2.43957,2.42352,0.02869,0,0.00092872,0.00092872,0.00092872
38,3657.42,1.6424,2.25195,1.90078,0.0228,0.09481,0.57035,0.33974,0.34928,0.22541,0.56176,0.32064,0.3324,0.19996,1.6474,2.41322,2.52451,0.02845,0,0.00092674,0.00092674,0.00092674
39,3752.94,1.58314,2.1773,1.91503,0.02327,0.09592,0.57169,0.26546,0.32281,0.2058,0.57205,0.26475,0.32348,0.19237,1.70534,2.43945,2.67038,0.03052,0,0.00092476,0.00092476,0.00092476
40,3848.37,1.52496,2.08083,1.80989,0.02143,0.08981,0.62101,0.27681,0.34027,0.21829,0.61354,0.27024,0.3435,0.2004,1.68783,2.51069,2.47598,0.02965,0,0.00092278,0.00092278,0.00092278
41,3943.89,1.53384,2.13637,1.95602,0.02209,0.09658,0.47595,0.3419,0.33901,0.21944,0.47285,0.32825,0.32345,0.19312,1.65877,2.50291,2.38959,0.02816,0,0.0009208,0.0009208,0.0009208
42,4038.9,1.55395,2.10731,1.7792,0.02288,0.09532,0.56605,0.34487,0.35615,0.2265,0.56469,0.3463,0.35253,0.21004,1.68544,2.53615,2.45207,0.02873,0,0.00091882,0.00091882,0.00091882
43,4134.4,1.49398,2.07229,1.80027,0.0212,0.09426,0.55955,0.34474,0.38455,0.24028,0.55898,0.33943,0.38027,0.22577,1.6243,2.45922,2.43393,0.02801,0,0.00091684,0.00091684,0.00091684
44,4229.76,1.5255,2.12959,1.73716,0.02042,0.09494,0.49689,0.36859,0.36215,0.22769,0.50761,0.37008,0.35542,0.20541,1.68021,2.45818,2.44829,0.02857,0,0.00091486,0.00091486,0.00091486
45,4324.85,1.4477,2.04993,1.69941,0.02053,0.09109,0.52695,0.32764,0.35924,0.23468,0.53014,0.33023,0.35798,0.2008,1.6492,2.43954,2.44463,0.02771,0,0.00091288,0.00091288,0.00091288
46,4420.04,1.4597,2.06774,1.7821,0.0216,0.09054,0.62954,0.29507,0.37593,0.23281,0.62428,0.28315,0.36692,0.20286,1.6734,2.5085,2.46127,0.02793,0,0.0009109,0.0009109,0.0009109
