epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
116,11083,1.06225,1.339,0.8426,0.01304,0.06781,0.61493,0.35525,0.42834,0.28295,0.60937,0.35034,0.40975,0.2497,1.51918,2.72228,2.21236,0.0238,0,0.0007723,0.0007723,0.0007723
117,11178.2,1.08118,1.43909,0.94018,0.01322,0.06825,0.5425,0.35733,0.37977,0.2523,0.53059,0.34939,0.35066,0.21656,1.51016,2.6088,2.22934,0.02408,0,0.00077032,0.00077032,0.00077032
118,11273.5,1.03605,1.32792,0.8281,0.01377,0.06352,0.57474,0.38957,0.44159,0.30373,0.55012,0.36791,0.4057,0.24784,1.49749,2.70755,2.24346,0.02435,0,0.00076834,0.00076834,0.00076834
119,11368.4,1.07967,1.39166,0.88955,0.0135,0.06811,0.51563,0.38828,0.39866,0.27475,0.50233,0.36701,0.37566,0.24566,1.45543,2.71523,2.23415,0.02307,0,0.00076636,0.00076636,0.00076636
120,11463.7,1.01159,1.26331,0.75549,0.01357,0.05994,0.59162,0.39144,0.41823,0.27646,0.57401,0.37056,0.379,0.24561,1.47537,2.71834,2.22761,0.02321,0,0.00076438,0.00076438,0.00076438
121,11558.6,1.07529,1.34137,0.86428,0.0134,0.06642,0.45817,0.40717,0.41317,0.28856,0.45261,0.40318,0.39537,0.24555,1.45551,2.55917,2.23171,0.02324,0,0.0007624,0.0007624,0.0007624
122,11653.6,1.01818,1.31252,0.79432,0.01326,0.0666,0.52872,0.38849,0.44763,0.3168,0.51683,0.37402,0.41397,0.2602,1.46657,2.44764,2.24871,0.0234,0,0.00076042,0.00076042,0.00076042
123,11748.6,1.0063,1.25028,0.73145,0.01329,0.06275,0.58844,0.35408,0.44149,0.30295,0.58002,0.35006,0.42336,0.26694,1.4754,2.72143,2.26402,0.02291,0,0.00075844,0.00075844,0.00075844
124,11843.8,1.00249,1.29215,0.81251,0.01322,0.05938,0.50663,0.38379,0.41138,0.2972,0.49602,0.37586,0.39824,0.24599,1.47018,2.78519,2.27802,0.02276,0,0.00075646,0.00075646,0.00075646
125,11938.9,1.0134,1.24013,0.7951,0.01276,0.06777,0.52962,0.37628,0.43207,0.29747,0.52,0.37147,0.418,0.25843,1.50734,2.63762,2.30157,0.02385,0,0.00075448,0.00075448,0.00075448
126,12034.1,0.99672,1.26185,0.76346,0.01288,0.0624,0.47928,0.41512,0.42516,0.3034,0.47084,0.44045,0.42123,0.26944,1.48802,2.50624,2.17037,0.0239,0,0.0007525,0.0007525,0.0007525
127,12129,0.98648,1.23413,0.73035,0.0128,0.05992,0.59421,0.34436,0.41493,0.29176,0.58933,0.34513,0.40258,0.25809,1.46497,2.67233,2.17788,0.02296,0,0.00075052,0.00075052,0.00075052
128,12223.8,0.99411,1.23025,0.72469,0.01315,0.06246,0.54587,0.38508,0.46134,0.31623,0.53636,0.37612,0.43873,0.26858,1.52028,2.57997,2.23509,0.02448,0,0.00074854,0.00074854,0.00074854
129,12318.9,1.01954,1.22201,0.71383,0.01327,0.06033,0.58588,0.34987,0.42461,0.29646,0.56886,0.34218,0.40304,0.25534,1.46931,2.54345,2.36942,0.02361,0,0.00074656,0.00074656,0.00074656
130,12413.5,0.98856,1.24116,0.77444,0.01289,0.06173,0.56342,0.35046,0.39684,0.27308,0.5612,0.34567,0.38655,0.24074,1.46062,2.72992,2.33874,0.02321,0,0.00074458,0.00074458,0.00074458
131,12508.3,1.01391,1.29783,0.82808,0.01225,0.06398,0.57485,0.34587,0.40002,0.2716,0.56402,0.33745,0.38085,0.23165,1.45122,2.62887,2.19032,0.02288,0,0.0007426,0.0007426,0.0007426
132,12603,1.02738,1.32508,0.83699,0.01327,0.06426,0.59328,0.34786,0.43485,0.29766,0.58906,0.3461,0.42248,0.26309,1.4481,2.6862,2.21575,0.02254,0,0.00074062,0.00074062,0.00074062
133,12698.1,1.00776,1.23381,0.76841,0.01295,0.06042,0.56682,0.37308,0.42977,0.29328,0.56252,0.37103,0.41536,0.24787,1.49289,2.68507,2.20718,0.02386,0,0.00073864,0.00073864,0.00073864
134,12792.8,0.9937,1.21335,0.73754,0.0128,0.06372,0.67389,0.3324,0.39748,0.27921,0.50718,0.37323,0.38148,0.24594,1.47812,2.74517,2.2351,0.02374,0,0.00073666,0.00073666,0.00073666
135,12887.7,1.00879,1.31575,0.79796,0.01288,0.06816,0.54795,0.40065,0.39931,0.26848,0.49139,0.40494,0.38892,0.23389,1.49604,2.76963,2.24924,0.02425,0,0.00073468,0.00073468,0.00073468
136,12982.7,0.97471,1.25242,0.79224,0.01261,0.05844,0.5659,0.34517,0.37582,0.25747,0.55186,0.34267,0.35749,0.21458,1.49459,2.73187,2.28671,0.02412,0,0.0007327,0.0007327,0.0007327
137,13077.6,0.98746,1.23583,0.75375,0.01187,0.0556,0.46178,0.39213,0.39473,0.2658,0.45377,0.38097,0.37544,0.2325,1.48313,2.70817,2.17508,0.02375,0,0.00073072,0.00073072,0.00073072
138,13172.4,0.96535,1.22648,0.73595,0.01262,0.05736,0.64637,0.35264,0.43935,0.29645,0.63556,0.34796,0.41776,0.26213,1.48587,2.73793,2.35121,0.02433,0,0.00072874,0.00072874,0.00072874
139,13267,0.95256,1.2243,0.76433,0.01258,0.05957,0.50137,0.44066,0.42883,0.275,0.49446,0.43473,0.41813,0.23641,1.491,2.91955,2.35938,0.02453,0,0.00072676,0.00072676,0.00072676
140,13362.1,0.97716,1.25116,0.83626,0.01266,0.06376,0.51862,0.40638,0.43283,0.29016,0.54298,0.39672,0.4219,0.26105,1.45376,2.73556,2.35332,0.02307,0,0.00072478,0.00072478,0.00072478
141,13456.7,0.96593,1.16933,0.71527,0.01235,0.05787,0.5682,0.41781,0.4293,0.29807,0.55532,0.41339,0.41023,0.2651,1.45749,2.74573,2.24587,0.02359,0,0.0007228,0.0007228,0.0007228
142,13551.6,0.97965,1.16652,0.73446,0.01243,0.05909,0.50573,0.3949,0.41552,0.29407,0.5052,0.37394,0.39632,0.25456,1.45684,2.63157,2.14022,0.02334,0,0.00072082,0.00072082,0.00072082
143,13646.5,0.96674,1.21199,0.7645,0.01283,0.05802,0.49488,0.39437,0.44553,0.30639,0.48445,0.38763,0.43008,0.27669,1.45077,2.68155,2.22993,0.02247,0,0.00071884,0.00071884,0.00071884
144,13741.3,0.96177,1.16893,0.7042,0.01275,0.05779,0.64391,0.38165,0.43185,0.30451,0.6232,0.37235,0.41929,0.26353,1.41802,2.78869,2.18995,0.02165,0,0.00071686,0.00071686,0.00071686
145,13836.3,0.98195,1.22658,0.78128,0.0122,0.06428,0.59553,0.3894,0.45507,0.31584,0.59186,0.38788,0.44822,0.27447,1.48269,2.79658,2.20328,0.02343,0,0.00071488,0.00071488,0.00071488
146,13930.9,0.94392,1.17883,0.7338,0.01195,0.05726,0.65027,0.35167,0.43273,0.30867,0.63655,0.34407,0.41507,0.27218,1.50632,3.02084,2.34896,0.0236,0,0.0007129,0.0007129,0.0007129
147,14025.6,0.92404,1.16933,0.72774,0.0121,0.05695,0.57688,0.38139,0.41629,0.29627,0.57152,0.37587,0.39701,0.25738,1.48229,2.84125,2.21124,0.02339,0,0.00071092,0.00071092,0.00071092
148,14120.4,0.95734,1.20873,0.70479,0.01182,0.05839,0.54274,0.39391,0.44436,0.30563,0.53886,0.392,0.43901,0.26952,1.42743,2.82483,2.25294,0.02258,0,0.00070894,0.00070894,0.00070894
149,14215.1,0.93611,1.15437,0.71426,0.01226,0.05874,0.52812,0.38707,0.44265,0.30028,0.52564,0.3791,0.42746,0.26257,1.47334,2.93851,2.21854,0.02319,0,0.00070696,0.00070696,0.00070696
150,14309.9,0.97007,1.14857,0.67635,0.01208,0.05859,0.54505,0.3803,0.4319,0.29802,0.56147,0.38049,0.41781,0.26533,1.49631,2.85281,2.31763,0.02375,0,0.00070498,0.00070498,0.00070498
151,14404.4,1.01683,1.31136,0.79702,0.01168,0.06025,0.6351,0.36558,0.43538,0.30679,0.63076,0.36173,0.42701,0.26359,1.4593,2.8913,2.18745,0.0228,0,0.000703,0.000703,0.000703
152,14499.4,0.97454,1.19426,0.69908,0.01214,0.05675,0.59009,0.35648,0.40361,0.28412,0.58815,0.35484,0.39662,0.25197,1.45102,2.75503,2.34759,0.02276,0,0.00070102,0.00070102,0.00070102
153,14594,0.91966,1.1262,0.68282,0.01173,0.0591,0.49154,0.38503,0.40156,0.28878,0.48427,0.37567,0.39008,0.24888,1.48551,2.76435,2.34045,0.02311,0,0.00069904,0.00069904,0.00069904
154,14688.8,0.9517,1.22232,0.74569,0.01189,0.05717,0.48174,0.39303,0.42234,0.28809,0.49722,0.3788,0.40069,0.24857,1.46744,2.7633,2.21445,0.02336,0,0.00069706,0.00069706,0.00069706
155,14783.4,0.91168,1.11282,0.67317,0.01219,0.05335,0.64499,0.36355,0.40521,0.2898,0.65891,0.36142,0.40013,0.25503,1.44106,2.68002,2.22156,0.02265,0,0.00069508,0.00069508,0.00069508
156,14878.5,0.91386,1.1342,0.69293,0.01213,0.05552,0.54758,0.38697,0.43767,0.30687,0.54491,0.38353,0.42468,0.27049,1.47255,2.67224,2.23518,0.02315,0,0.0006931,0.0006931,0.0006931
157,14973.2,0.91412,1.07792,0.66759,0.01167,0.05387,0.64308,0.34831,0.43191,0.29732,0.63906,0.34554,0.41502,0.26448,1.4663,2.67847,2.2104,0.02309,0,0.00069112,0.00069112,0.00069112
158,15067.9,0.91575,1.20133,0.65359,0.01174,0.05485,0.5815,0.38362,0.39824,0.27974,0.57896,0.38297,0.38651,0.24936,1.48346,2.84069,2.35063,0.02392,0,0.00068914,0.00068914,0.00068914
159,15162.7,0.9275,1.20793,0.72023,0.01147,0.05639,0.60991,0.34746,0.392,0.27155,0.55171,0.37126,0.38576,0.24219,1.49405,2.76592,2.30059,0.0241,0,0.00068716,0.00068716,0.00068716
160,15257.5,0.93232,1.10248,0.66851,0.01228,0.05441,0.47173,0.39662,0.43333,0.28937,0.46669,0.39237,0.42535,0.25563,1.47332,2.8698,2.37838,0.02351,0,0.00068518,0.00068518,0.00068518
161,15351.9,0.92629,1.19857,0.68778,0.01165,0.05502,0.4894,0.37794,0.40887,0.27477,0.48419,0.37371,0.40001,0.24659,1.47912,2.71178,2.4043,0.02362,0,0.0006832,0.0006832,0.0006832
162,15446.5,0.92249,1.17947,0.7774,0.01176,0.05828,0.49842,0.44526,0.44169,0.29838,0.49448,0.44144,0.42987,0.25798,1.46508,2.60787,2.23442,0.02364,0,0.00068122,0.00068122,0.00068122
163,15540.9,0.94744,1.15035,0.7025,0.01213,0.05519,0.49226,0.41215,0.43774,0.30525,0.53062,0.40524,0.43609,0.26054,1.4306,2.67468,2.28228,0.02278,0,0.00067924,0.00067924,0.00067924
164,15635.7,0.89607,1.08809,0.67302,0.01212,0.05403,0.55529,0.35035,0.41506,0.29249,0.56002,0.35169,0.41083,0.2611,1.46071,2.68883,2.30333,0.02307,0,0.00067726,0.00067726,0.00067726
165,15730.2,0.94489,1.17831,0.71114,0.01161,0.05984,0.47802,0.39959,0.41023,0.29156,0.48324,0.40688,0.41049,0.25472,1.44784,2.7608,2.32986,0.02309,0,0.00067528,0.00067528,0.00067528
166,15824.9,0.90638,1.0956,0.65351,0.01144,0.05411,0.49529,0.44645,0.46105,0.30529,0.48629,0.43319,0.44203,0.26304,1.4969,2.73461,2.26767,0.02383,0,0.0006733,0.0006733,0.0006733
167,15919.4,0.91033,1.09659,0.66824,0.01142,0.05223,0.41912,0.46336,0.45312,0.31992,0.40965,0.4769,0.44469,0.28182,1.44375,2.70344,2.24187,0.02262,0,0.00067132,0.00067132,0.00067132
168,16014.2,0.9058,1.09904,0.62604,0.01109,0.05475,0.67851,0.34317,0.44389,0.31277,0.68772,0.3453,0.43803,0.27139,1.45144,2.78012,2.22831,0.02271,0,0.00066934,0.00066934,0.00066934
169,16108.9,0.89001,1.04118,0.63436,0.01123,0.04988,0.51078,0.38651,0.40256,0.27731,0.50557,0.38291,0.38572,0.2445,1.46071,2.84219,2.26314,0.02277,0,0.00066736,0.00066736,0.00066736
170,16203.6,0.88921,1.09542,0.65497,0.01149,0.05129,0.53085,0.42298,0.41939,0.28824,0.52628,0.40726,0.39923,0.2518,1.43001,2.71554,2.25536,0.02207,0,0.00066538,0.00066538,0.00066538
171,16298.3,0.86576,1.06607,0.64104,0.01063,0.05469,0.50301,0.37928,0.41366,0.29409,0.49617,0.3751,0.40461,0.25768,1.41542,2.77727,2.21836,0.0216,0,0.0006634,0.0006634,0.0006634
172,16393.3,0.87342,1.1057,0.61936,0.01087,0.05274,0.50093,0.38339,0.43545,0.30803,0.49389,0.37934,0.41906,0.27409,1.40958,2.8417,2.29234,0.02202,0,0.00066142,0.00066142,0.00066142
173,16487.8,0.93698,1.11808,0.7064,0.01148,0.05614,0.49146,0.36876,0.38334,0.27236,0.4863,0.36318,0.36921,0.23606,1.42707,2.72043,2.24232,0.02237,0,0.00065944,0.00065944,0.00065944
174,16582.6,0.89439,1.10467,0.69701,0.01164,0.05064,0.57062,0.35267,0.43162,0.31085,0.5691,0.35178,0.42115,0.26928,1.40977,2.62339,2.25234,0.02202,0,0.00065746,0.00065746,0.00065746
175,16677.4,0.87369,1.15199,0.63521,0.01114,0.04806,0.64312,0.37032,0.43034,0.31026,0.63538,0.36537,0.42308,0.27197,1.41551,2.57844,2.24897,0.0219,0,0.00065548,0.00065548,0.00065548
176,16772.1,0.87928,1.08325,0.63662,0.0109,0.05267,0.58367,0.37015,0.43633,0.30852,0.57342,0.36203,0.42073,0.26057,1.39467,2.64083,2.17463,0.02132,0,0.0006535,0.0006535,0.0006535
177,16866.8,0.82608,1.00009,0.61264,0.01096,0.05047,0.48073,0.38003,0.44173,0.31714,0.47267,0.37479,0.43058,0.273,1.39784,2.79935,2.21281,0.02159,0,0.00065152,0.00065152,0.00065152
178,16961.4,0.86909,1.01345,0.61004,0.01008,0.05303,0.56239,0.37782,0.40185,0.29434,0.56048,0.37786,0.39657,0.25829,1.39287,2.78027,2.31463,0.02172,0,0.00064954,0.00064954,0.00064954
179,17056.1,0.85736,1.03978,0.60854,0.01073,0.05144,0.53298,0.38473,0.41557,0.29327,0.5164,0.37464,0.40822,0.25607,1.41824,2.88067,2.3568,0.02213,0,0.00064756,0.00064756,0.00064756
180,17150.9,0.82768,0.95516,0.58394,0.01068,0.04892,0.59319,0.38291,0.43779,0.31762,0.60214,0.38514,0.42989,0.27553,1.3998,2.83806,2.28283,0.02217,0,0.00064558,0.00064558,0.00064558
181,17245.6,0.85926,1.0505,0.64347,0.01129,0.05185,0.51162,0.41,0.39979,0.2901,0.51087,0.39603,0.38768,0.2449,1.41533,2.65901,2.28928,0.0215,0,0.0006436,0.0006436,0.0006436
182,17340.3,0.80489,0.98502,0.60468,0.01069,0.04975,0.48823,0.3928,0.4202,0.30879,0.48642,0.39138,0.40726,0.26706,1.39434,2.84177,2.35178,0.02144,0,0.00064162,0.00064162,0.00064162
183,17435,0.84094,1.04928,0.63235,0.01073,0.05399,0.48922,0.39799,0.41577,0.29177,0.48504,0.39528,0.40387,0.24907,1.41226,2.90134,2.26697,0.02202,0,0.00063964,0.00063964,0.00063964
184,17529.7,0.80348,0.99117,0.55973,0.01073,0.04769,0.56683,0.37988,0.42402,0.28721,0.56685,0.37265,0.41259,0.25499,1.4105,2.88181,2.27655,0.02196,0,0.00063766,0.00063766,0.00063766
185,17624.2,0.86654,1.06509,0.60948,0.0105,0.04973,0.55694,0.38213,0.41867,0.29445,0.57223,0.36174,0.40604,0.26378,1.41733,2.6689,2.2854,0.02198,0,0.00063568,0.00063568,0.00063568
186,17719,0.84112,0.98749,0.55906,0.01075,0.04908,0.48334,0.42382,0.41035,0.29704,0.52842,0.39368,0.40506,0.25769,1.40237,2.73415,2.27174,0.0216,0,0.0006337,0.0006337,0.0006337
187,17813.7,0.82285,1.01317,0.55689,0.00988,0.05072,0.47483,0.42602,0.43562,0.30308,0.44664,0.41521,0.41063,0.26028,1.44015,2.79626,2.27674,0.02228,0,0.00063172,0.00063172,0.00063172
188,17908.5,0.84482,1.04214,0.60962,0.01084,0.04717,0.56068,0.39726,0.44038,0.30885,0.46143,0.40686,0.4231,0.26847,1.42106,2.67425,2.21221,0.02221,0,0.00062974,0.00062974,0.00062974
189,18003.2,0.79795,0.94463,0.54036,0.01039,0.04727,0.50345,0.40658,0.41389,0.29438,0.4933,0.4007,0.40039,0.24835,1.43441,2.69182,2.27252,0.02257,0,0.00062776,0.00062776,0.00062776
190,18098,0.81359,1.00629,0.57446,0.01029,0.04683,0.44022,0.4202,0.42462,0.29908,0.43163,0.41149,0.41152,0.25726,1.39454,2.86468,2.28607,0.02152,0,0.00062578,0.00062578,0.00062578
191,18192.9,0.83752,1.00947,0.5699,0.00988,0.04863,0.54299,0.3767,0.41717,0.29046,0.54033,0.37504,0.40601,0.24773,1.40192,2.81491,2.17761,0.02173,0,0.0006238,0.0006238,0.0006238
192,18287.6,0.80655,0.99228,0.55616,0.00966,0.04932,0.53508,0.35384,0.4,0.28135,0.53821,0.33483,0.38209,0.24103,1.37954,2.71543,2.37486,0.02124,0,0.00062182,0.00062182,0.00062182
193,18382.2,0.8327,0.96852,0.54304,0.01063,0.04587,0.49307,0.37722,0.39704,0.29075,0.48926,0.37332,0.38839,0.24137,1.39289,2.91332,2.40656,0.02143,0,0.00061984,0.00061984,0.00061984
194,18476.8,0.84431,1.05512,0.61733,0.01031,0.04955,0.565,0.37791,0.42744,0.30908,0.56115,0.36799,0.40979,0.26681,1.36905,2.91783,2.36377,0.02062,0,0.00061786,0.00061786,0.00061786
195,18571.4,0.81139,0.9828,0.58071,0.01009,0.05046,0.49826,0.40138,0.43453,0.31172,0.49012,0.39412,0.4186,0.27087,1.37999,2.78603,2.26325,0.02093,0,0.00061588,0.00061588,0.00061588
196,18666.4,0.77162,0.93861,0.4994,0.00968,0.04329,0.52766,0.39297,0.4216,0.30705,0.52016,0.38639,0.41019,0.27195,1.3859,2.75439,2.21898,0.02102,0,0.0006139,0.0006139,0.0006139
197,18761.1,0.83118,0.97542,0.54834,0.01024,0.04942,0.5141,0.37924,0.43588,0.31087,0.50739,0.37473,0.42587,0.27013,1.38087,2.72108,2.2184,0.02089,0,0.00061192,0.00061192,0.00061192
198,18855.9,0.79181,1.01018,0.55218,0.01001,0.04664,0.51769,0.38567,0.40687,0.29884,0.51457,0.3911,0.39858,0.25381,1.3744,2.80658,2.33403,0.02055,0,0.00060994,0.00060994,0.00060994
199,18950.8,0.82054,0.98463,0.58786,0.00991,0.0465,0.48274,0.38948,0.4173,0.30506,0.47621,0.38415,0.40616,0.26436,1.38338,2.79705,2.29578,0.0208,0,0.00060796,0.00060796,0.00060796
200,19045.7,0.82186,1.04319,0.62095,0.01045,0.05261,0.47437,0.40273,0.41484,0.30095,0.47423,0.38771,0.40612,0.25913,1.40624,2.80948,2.32488,0.0219,0,0.00060598,0.00060598,0.00060598
201,19140.6,0.82693,0.99259,0.52126,0.01033,0.04772,0.51966,0.39896,0.40657,0.30117,0.51469,0.39143,0.39993,0.2611,1.40031,2.77873,2.29788,0.02154,0,0.000604,0.000604,0.000604
202,19235.3,0.81321,0.958,0.5783,0.01011,0.04454,0.47001,0.4188,0.41415,0.30436,0.46181,0.40809,0.40679,0.2713,1.40584,2.91284,2.25651,0.02162,0,0.00060202,0.00060202,0.00060202
203,19329.9,0.78481,0.948,0.56463,0.00999,0.04563,0.52548,0.40015,0.42861,0.31142,0.59584,0.3691,0.41773,0.27194,1.42154,2.85904,2.28535,0.02241,0,0.00060004,0.00060004,0.00060004
204,19424.5,0.78903,0.94424,0.55734,0.00952,0.04352,0.6476,0.32903,0.41473,0.30758,0.64344,0.32628,0.41161,0.27055,1.38547,2.82754,2.26752,0.02161,0,0.00059806,0.00059806,0.00059806
205,19518.9,0.83448,1.0008,0.57933,0.00969,0.04878,0.63315,0.34384,0.4281,0.30736,0.63727,0.34496,0.41424,0.27027,1.42268,2.76478,2.268,0.02253,0,0.00059608,0.00059608,0.00059608
206,19613.7,0.78673,0.89256,0.51395,0.00942,0.04269,0.65175,0.33554,0.42181,0.31002,0.59958,0.34766,0.40807,0.26456,1.39878,2.83625,2.30182,0.02205,0,0.0005941,0.0005941,0.0005941
207,19708.4,0.78811,0.93917,0.53674,0.0102,0.03957,0.62304,0.39127,0.45089,0.32835,0.63208,0.39391,0.44373,0.28182,1.39029,2.80684,2.19301,0.02211,0,0.00059212,0.00059212,0.00059212
208,19803.2,0.8126,0.96167,0.58273,0.00983,0.0478,0.56201,0.37445,0.39957,0.29873,0.55859,0.37435,0.39223,0.25533,1.37858,2.75836,2.40422,0.02207,0,0.00059014,0.00059014,0.00059014
209,19897.9,0.79028,0.9399,0.50569,0.00945,0.04467,0.5792,0.40128,0.44674,0.32393,0.57007,0.39423,0.4264,0.26684,1.40478,2.78607,2.28574,0.02174,0,0.00058816,0.00058816,0.00058816
210,19992.4,0.81956,0.9598,0.52886,0.01033,0.04324,0.62877,0.36766,0.39893,0.28048,0.62376,0.3633,0.38376,0.24035,1.4445,2.79453,2.33474,0.02223,0,0.00058618,0.00058618,0.00058618
211,20087,0.78013,1.00163,0.56848,0.00981,0.04389,0.58939,0.39472,0.42859,0.31156,0.58682,0.38934,0.42138,0.2673,1.37804,2.77141,2.40211,0.02107,0,0.0005842,0.0005842,0.0005842
212,20181.5,0.79073,0.94532,0.52837,0.00933,0.0466,0.59309,0.38992,0.43307,0.31366,0.59117,0.38647,0.42588,0.27462,1.37132,2.69786,2.26197,0.02108,0,0.00058222,0.00058222,0.00058222
213,20276,0.81478,0.96771,0.61297,0.0097,0.04902,0.62551,0.39433,0.4374,0.31228,0.62262,0.39312,0.43158,0.27477,1.38714,2.86372,2.34478,0.02136,0,0.00058024,0.00058024,0.00058024
214,20370.8,0.80955,0.98712,0.57915,0.00983,0.04589,0.58383,0.4111,0.44237,0.3102,0.5898,0.39604,0.4298,0.26984,1.40862,2.82586,2.29643,0.02202,0,0.00057826,0.00057826,0.00057826
215,20465.2,0.80232,0.94492,0.55294,0.00926,0.04559,0.54505,0.44555,0.42313,0.29774,0.54703,0.44832,0.40859,0.25559,1.3842,2.86309,2.26394,0.0212,0,0.00057628,0.00057628,0.00057628
216,20559.9,0.77212,0.95911,0.55791,0.00937,0.04528,0.62163,0.35716,0.42288,0.30125,0.61663,0.3548,0.40156,0.25543,1.37429,2.84247,2.32779,0.02113,0,0.0005743,0.0005743,0.0005743
217,20654.7,0.73656,0.89058,0.47497,0.00899,0.04208,0.62055,0.39686,0.43476,0.31025,0.61406,0.39306,0.41952,0.27196,1.40078,2.8694,2.36757,0.0217,0,0.00057232,0.00057232,0.00057232
218,20749.5,0.76126,0.92054,0.48813,0.00951,0.04225,0.64802,0.35681,0.41926,0.29406,0.64349,0.35345,0.41067,0.25508,1.40361,2.78876,2.43842,0.02195,0,0.00057034,0.00057034,0.00057034
219,20844.1,0.80474,0.9966,0.57414,0.00991,0.04445,0.52842,0.41241,0.43945,0.31175,0.5263,0.41314,0.4312,0.27732,1.41411,2.79218,2.34713,0.02217,0,0.00056836,0.00056836,0.00056836
220,20938.6,0.75482,0.92588,0.49566,0.00916,0.04262,0.61346,0.34344,0.3947,0.29023,0.6093,0.34082,0.39942,0.25512,1.41943,2.67143,2.30602,0.02171,0,0.00056638,0.00056638,0.00056638
221,21033.2,0.7677,0.93577,0.51838,0.00957,0.04253,0.56451,0.36682,0.40215,0.2888,0.55849,0.36278,0.39033,0.2465,1.37351,2.8771,2.40199,0.02095,0,0.0005644,0.0005644,0.0005644
222,21128.1,0.74116,0.87711,0.49671,0.00866,0.04012,0.51696,0.40952,0.40971,0.29621,0.51226,0.40596,0.41883,0.26515,1.38835,2.93203,2.2637,0.02165,0,0.00056242,0.00056242,0.00056242
223,21222.8,0.73239,0.91955,0.53354,0.00959,0.04157,0.58491,0.39062,0.41997,0.30206,0.5817,0.38748,0.41131,0.26252,1.39094,2.89326,2.25548,0.02148,0,0.00056044,0.00056044,0.00056044
224,21317.9,0.7463,0.88825,0.49676,0.00944,0.04359,0.53748,0.41781,0.41231,0.30218,0.5291,0.40966,0.39641,0.26237,1.40582,2.94672,2.2201,0.02212,0,0.00055846,0.00055846,0.00055846
225,21412.9,0.75956,0.9054,0.52292,0.0092,0.04063,0.50455,0.39548,0.41885,0.30078,0.49762,0.38871,0.41673,0.26465,1.40772,2.91566,2.22725,0.0218,0,0.00055648,0.00055648,0.00055648
226,21507.8,0.7071,0.82304,0.42947,0.00869,0.03722,0.54045,0.37266,0.41972,0.29383,0.55804,0.36352,0.40113,0.25654,1.40294,2.83093,2.33511,0.02181,0,0.0005545,0.0005545,0.0005545
227,21602.5,0.7425,0.85728,0.48799,0.00872,0.03984,0.57141,0.36341,0.40945,0.29816,0.56389,0.36003,0.39871,0.26031,1.38107,2.92425,2.25802,0.02115,0,0.00055252,0.00055252,0.00055252
228,21697.2,0.71483,0.82252,0.42511,0.00877,0.03954,0.55967,0.37823,0.41074,0.2906,0.54941,0.37746,0.40024,0.25561,1.3868,2.90762,2.21153,0.02112,0,0.00055054,0.00055054,0.00055054
229,21791.6,0.75998,0.96531,0.55919,0.00892,0.0461,0.5515,0.3703,0.39533,0.28415,0.55081,0.37113,0.38697,0.24844,1.39335,2.88107,2.27755,0.0217,0,0.00054856,0.00054856,0.00054856
230,21886.5,0.75409,0.87119,0.49087,0.00953,0.04052,0.5665,0.43014,0.46546,0.31161,0.56575,0.42585,0.45782,0.2785,1.39387,2.87143,2.23914,0.02169,0,0.00054658,0.00054658,0.00054658
231,21981.2,0.73395,0.87523,0.47927,0.00906,0.04099,0.56545,0.39904,0.43778,0.30295,0.56032,0.39388,0.42683,0.25785,1.3992,2.87838,2.21552,0.02121,0,0.0005446,0.0005446,0.0005446
232,22076.1,0.69932,0.80081,0.46059,0.00865,0.03664,0.53619,0.40632,0.43837,0.3127,0.5558,0.39216,0.43271,0.26968,1.38886,2.84933,2.24079,0.02119,0,0.00054262,0.00054262,0.00054262
233,22171.2,0.72811,0.87877,0.53011,0.00868,0.0396,0.58575,0.38623,0.42749,0.30675,0.57834,0.37981,0.41311,0.26518,1.38002,2.84089,2.27821,0.02081,0,0.00054064,0.00054064,0.00054064
234,22266.2,0.73787,0.86894,0.51644,0.0091,0.04173,0.61651,0.39518,0.44522,0.33038,0.60899,0.38964,0.43055,0.27489,1.36817,2.83261,2.32524,0.0207,0,0.00053866,0.00053866,0.00053866
235,22360.9,0.73452,0.88597,0.49747,0.00941,0.03945,0.53176,0.40891,0.41107,0.29746,0.52183,0.40262,0.39681,0.25265,1.39349,2.89141,2.26324,0.02124,0,0.00053668,0.00053668,0.00053668
236,22455.8,0.74283,0.88123,0.49639,0.00887,0.03917,0.60927,0.36742,0.40994,0.29489,0.60639,0.36523,0.40234,0.25927,1.35542,2.82618,2.28725,0.02057,0,0.0005347,0.0005347,0.0005347
237,22550.6,0.71233,0.87031,0.45476,0.00928,0.04054,0.5285,0.40179,0.4214,0.30116,0.51927,0.39456,0.40846,0.25602,1.37874,2.854,2.28533,0.02095,0,0.00053272,0.00053272,0.00053272
238,22645.5,0.72694,0.88512,0.51444,0.00923,0.0396,0.59664,0.38633,0.43098,0.30733,0.59986,0.37866,0.42404,0.26493,1.37031,2.91372,2.35027,0.0208,0,0.00053074,0.00053074,0.00053074
